"dossier_folder","dossier_id","nom_societe","forme_juridique","capital_social_eur","rcs","adresse_siege","nom_commercial","activite","type_procedure","date_ouverture","tribunal","administrateur_judiciaire","cabinet_aj","adresse_aj","mandataire_judiciaire","cabinet_mj","juge_commissaire","dldo","effectif_total","nb_offres_recues","filiales","secteur","notes"
"58 - SCA DE LAUNAY","58","SCA DE LAUNAY","Autre societe civile","1272435","383723699","Port l'Abbe, 49330 Etriche","SCA DE LAUNAY","Production agricole de pommes","Redressement judiciaire","2026-03-16","Tribunal des activites economiques de Paris","Me Marine PACE / Me Paul-Henri AUDRAS","SELARL 2M&Associes / SELAS AJ UP","","Me Valerie LELOUP-THOMAS / Me Charlotte THIRION","SELAFA MJA / SELARL ATHENA","","2026-03-18","3","3","","Arboriculture / Pommes / Filiale Groupe INNATIS Pole Val de Loire (Branche Angevine)","Procedure de sauvegarde initiale ouverte le 29/09/2025 sur INNATIS (RCS 338575962 Paris) et plusieurs filiales. Demandes RJ regularisees ensuite pour SCEA DE LAUNAY, DENIOLAY, BEAUVALLON, VAULEARD, LA CHAUSSEE, LA PLESSE, REINETTE D'ANJOU (Vergers) examinees le 16/03/2026 (jugement RJ). Appel d'offres AJ avec DLDO 18/03/2026 12h00. Audience d'examen au TAE Paris le 13/04/2026 a 9h15. SCA DE LAUNAY = filiale du Pole Val de Loire (Branche Angevine 49) du groupe INNATIS (fonde 1954, n2 francais de la pomme, CA ~45-50M EUR pour le pole, ~100 salaries). Offres Innatis indivisibles avec celles sur 10 autres structures : LPC, LVL POMANJOU, SCICA POMANJOU, SCEA DE LA CHAUSSEE, SCA REINETTE D'ANJOU, SCA DE VAULEARD, SCA DE LA DENIOLAY, SCA DE LA PLESSE, SCA DE BEAUVALLON et CAVL. Coadministrateurs : SELARL 2M&Associes (Me PACE) + SELAS AJ UP (Me AUDRAS). Comandataires : SELAFA MJA (Me LELOUP-THOMAS) + SELARL ATHENA (Me THIRION). 3 salaries CDI : 2 ouvriers arboricoles + 1 assistante administrative (cette derniere demission 10/04/2026). 3 offres recues : 1 amelioree LEROY/VCAPITAL/CASTEL INVEST (08/04/2026 50000 EUR) + 1 CELHER amelioree BOUJUAU (08/04/2026 50000 EUR) + 1 initiale LEROY/VCAPITAL/CASTEL INVEST (18/03/2026 50000 EUR meme prix). Conseil Fidal (Me Antoine BISDORFF + Delphine BRUNET + Sabrina DJELTI, 92400 Courbevoie) pour LEROY/VCAPITAL/CASTEL INVEST. Conseil SELARL LEXCAP (Angers) pour CELHER. Dossier 26A01015 cote SELARL LEXCAP."
"59 - SCA LA REINETTE D ANJOU","59","SCEA LA REINETTE D'ANJOU","Societe civile d'exploitation agricole (SCEA)","35000","786159152","Ham La Plesse, 49000 Ecouflant","","Production agricole de pommes","Redressement judiciaire","2026-03-16","Tribunal des activites economiques de Paris","Maitre Marine PACE & Maitre Paul-Henri AUDRAS","SELARL 2M&Associes (PACE) ; SELAS AJ UP (AUDRAS)","","Maitre Valerie LELOUP-THOMAS & Maitre Charlotte THIRION","SELAFA MJA (LELOUP-THOMAS) ; SELARL ATHENA (THIRION)","","2026-03-18","1","4 (3 distinctes : INNATIS x2"," CELHER x2)","","Production fruitiere - pommes (filiere Pole Val de Loire)"
"60 - SCA SEA DE DENIOLAY PEROUSSAY","60","SCEA DE LA DENIOLAY PEROUSSAY","Société civile d'exploitation agricole","568560","320401987","Lieudit Deniolay Peroussay, 49440 Loire","SCEA DE LA DENIOLAY PEROUSSAY","Production agricole de pommes","Redressement judiciaire","2026-03-16","Tribunal des activités économiques de Paris","Me Marine PACE / Me Paul-Henri AUDRAS","SELARL 2M&Associés / SELAS AJ UP","5 avenue de Messine, 75008 Paris","Me Valérie LELOUP-THOMAS / Me Charlotte THIRION","SELAFA MJA / SELARL ATHENA","","2026-03-18","2","4","","Agriculture / Arboriculture pommes","Filiale du groupe INNATIS (RCS Paris 338 575 962) — Pôle Val de Loire branche Angevine. Capital indiqué dans offre 6 : 216 165€ (peut-être après augmentation/réduction). Procédure de sauvegarde initialement ouverte le 29/09/2025 contre INNATIS et plusieurs filiales ; jugements 12/03/2026 et 16/03/2026 ont converti / ouvert RJ pour les Vergers dont SCEA DE LA DENIOLAY. Offres groupées indivisibles avec 10 autres entités INNATIS (LPC, SCICA POMANJOU, LVL POMANJOU, SCA DE LAUNAY, SCEA DE LA CHAUSSEE, SCA REINETTE D'ANJOU, SCA DE VAULEARD, SCA DE LA PLESSE, SCA DE BEAUVALLON, CAVL). Vergers de pommes (HoneyCrunch 60% surfaces), pertes liées à mauvaises récoltes 2023-2025 + station fruitière Verrières-en-Anjou (30M€ investissement 2023) sous-utilisée. Cabinet conseil débiteur : FIDAL (Antoine BISDORFF, Delphine BRUNET, Sabrina DJELTI)."
"61 - SCA SOCIETE D EXPLOITATION DU DOMAINE DE BEAUVALLO","61","SCEA DU DOMAINE DE BEAUVALLON","Société civile d'exploitation agricole","782040","786213702","LD Beauvallon, 49140 Seiches-Sur-Le-Loir","SCEA DU DOMAINE DE BEAUVALLON","Production agricole de fruits à pépin (pommes et kiwis)","Redressement judiciaire (ouvert 16/03/2026 — initialement sauvegarde groupe INNATIS 29/09/2025)","2026-03-16","Tribunal des Activités Économiques de Paris","Me Marine PACE / Me Paul-Henri AUDRAS","SELARL 2M&Associés / SELAS AJ UP","","Me Valérie LELOUP-THOMAS / Me Charlotte THIRION","SELAFA MJA / SELARL ATHENA","","2026-03-18","2","2","","Filière fruits / arboriculture (pommes, kiwis) — Pôle Val de Loire groupe INNATIS","Filiale du groupe INNATIS (RCS 338575962 Paris) — pôle Val de Loire / Branche Angevine (49) — Coopérative AVL. Note RCS : préambule offres mentionne 786213702 Angers (vs 786216702 en page de garde — l'offre 1 reprend la 2e). Actifs immobiliers : parcelles, maison d'habitation pour chef de culture, locaux pro (réfectoire, vestiaire, sanitaires), hangar, terrains. 117 ha (CELHER) / parties intégrées branche INNATIS (300 ha vergers globaux Val de Loire). Difficultés : chute production HoneyCrunch 2023-2025 (40% commercialisable vs 70% nécessaires) + investissement station Verrières-en-Anjou 30M€ surcalibrée. Renvois croisés : indivisibilité INNATIS 11 sociétés (LPC, SCICA POMANJOU, LVL POMANJOU, SCA DE LAUNAY, SCA REINETTE D'ANJOU, SCA DE VAULEARD, SCA DE LA DENIOLAY, SCA DE LA PLESSE, SCA DE LA CHAUSSEE, CAVL, SCEA DU DOMAINE DE BEAUVALLON)."
"62 - SCA SOCIETE D EXPLOITATION DE LA CHAUSSEE","62","SCEA DE LA CHAUSSEE","Société civile d'exploitation agricole","216165","786 169 748 RCS Angers","Lieudit La Chaussée, 49440 Loiré","SCEA DE LA CHAUSSEE","Production agricole de pommes (arboriculture / vergers)","Sauvegarde ouverte le 29/09/2025, convertie en redressement judiciaire le 16/03/2026 (jugement du Tribunal des activités économiques de Paris)","2025-09-29","Tribunal des activités économiques de Paris","Me Marine PACE (SELARL 2M&Associés) et Me Paul-Henri AUDRAS (SELAS AJ UP)","SELARL 2M&Associés ; SELAS AJ UP","SELAS AJ UP : 5 avenue de Messine, 75008 Paris","Me Valérie LELOUP-THOMAS (SELAFA MJA) et Me Charlotte THIRION (SELARL ATHENA)","SELAFA MJA ; SELARL ATHENA","","2026-03-18","6","3","","Agriculture / Arboriculture (pommes, kiwi, petits fruits, grandes cultures)","Filiale du groupe INNATIS (Pôle Val de Loire - branche Angevine), détenue à 99,99% par SCI Holding Financière Pomanjou. Procédure de sauvegarde groupe INNATIS du 29/09/2025 convertie en RJ le 16/03/2026 pour la SCEA DE LA CHAUSSEE et autres Vergers (LAUNAY, DENIOLAY, BEAUVALLON, VAULEARD, LA PLESSE, REINETTE D'ANJOU). DLDO appel d'offres groupe Innatis : 18/03/2026 12h00. Audience : prévue avant le 30/05/2026. 3 offres distinctes (INNATIS Castel/Leroy/VCapital — initiale puis améliorée, CELHER+Agriland+Penchenat, EARL Cellier du Mesnil). Variété phare HoneyCrunch ~60% surface — récoltes 2023-2025 mauvaises. Vergers Branche Angevine 210 hectares + Touraine 90 hectares = 300 ha total Pôle Val de Loire."
"63 - Association FEDERATION UNIE DES AUBERGES DE JEUNES","63","Federation Unie des Auberges de Jeunesse (FUAJ)","Association loi 1901","","775674260","27 rue Pajol, 75018 Paris","HI ! France","Exploitation reseau auberges de jeunesse (5000 lits / ~80 etablissements en propre + reseau Hostelling International) — tourisme social et solidaire","Liquidation judiciaire avec poursuite d'activite","2026-03-02","Tribunal judiciaire de Paris (renvoi Tribunal des activites economiques de Paris jugement du 17/03/2026)","Me Lou FLECHARD / Me Manuel BOUYER","SCP CBF Associes / SELAS BL & Associes","41 rue de Liege 75008 Paris (CBF) / 3 bis rue des Archives 94000 Creteil (BL)","Me Gilles PELLEGRINI / Me Stephane GORRIAS","SCP BTSG2 (Gorrias) / Me Pellegrini","Remi GRENIER (designe 17/03/2026)","2026-04-10","317","14","HI France Exploitation (SASU 990053644 — 2 auberges 15 ETP), HI France Services (SAS 995728439 — mutualisation achats/commercialisation), FUAJ Gestion (SAS 989695606 — holding intermediaire), Fonciere HI France (SCA 992657403 — portage immobilier). Participations : Au 235 (SCIC 948062465) 50%, Hostel Vieux Lyon (SAS 510259486) 34%, La Grande Echelle (SAS 942986688) 5%, Hostel Rennes (SAS 950511189) 34%","Tourisme social / Hebergement / ESS","Association declaree au RNA W751006973. Reseau international Hostelling International (~3000 auberges dans le monde dont 80 en France). RJ initial ouvert le 20/12/2018 (Me Joanna ROUSSELET — SCP Abitbol & Rousselet). Plan de redressement arrete 05/09/2019 sur 6 ans puis modifie 01/04/2021 (duree etendue a 11 ans). Echec du plan : 3e echeance non honoree le 05/09/2024 (impact Covid + couts energie + echec cession Seez 73 prix preemption commune 950k€ + echec cession Nice 06). Resolution du plan + LJ avec poursuite d'activite 3 mois par jugement 02/03/2026. Patrimoine immobilier : 8 sites en pleine propriete (dont 6 en exploitation), 36 etablissements secondaires (baux + conventions + emphyteoses). Capacite totale ~5000 lits / 40 etablissements en propre. CA 2024 ~30,6M€ (2023 ~29M€, 2022 ~23,6M€). EBITDA structurellement deficitaire (-996k€ 2024, -786k€ 2023, -2326k€ 2022). Dette < 1 an : 11,3M€ en 2024 (ratio couv 0,13). Dette fiscale et sociale > 5M€. Auberges propres notables : Nice Les Camelias (3 rue Spitalieri — parcelle LB 241 — 530m² — 24 chambres 745m² — 13 salaries), Paris Yves Robert (20 esplanade Nathalie Sarraute 75018 — 29 salaries), Paris Le D'Artagnan (80 rue Vitruve 75020 — ferme pour travaux 2+ ans), Chamonix Mont-Blanc, Belle-Ile-en-Mer (Haute Boulogne), Le Mont-Dore (Chalet le Grand Volcan), Ile de Groix, La Clusaz, Serre-Chevalier, Beaulieu-sur-Dordogne (rue de la Chapelle 19120), Annecy (4 rue du Semnoz), Chamrousse (CA 2025 227 101€), Brides-les-Bains, Boulogne-sur-Mer (Annette Allan-Lantz), Arles, Lille (Stephane Hessel — lie SCIC AU 235), Amiens, Poitiers (Bellejouanne — 1 allee Roger Tagault), Paimpont (lieudit Choucan), Cancale (Baie du Mont-Saint-Michel), Avignon, Nimes (La Cigale), Cahors (Le Chai), Grenoble (Echirolles), Clermont-Ferrand, Marseille (Chateau de Bois Luzy), Strasbourg. 14 offres deposees : prix total cumule >3,1M€ + lettres d'intention. Offre globale BRAXTON 100k€ couvre 9 sites principaux + 14 sites sous conditions. Offre globale ADVI PROM 1€ symbolique sur 7 sites + 457 300€ reprise creances clients. Concurrence sur Nice Camelias : 4 offrants (Groupe Delaforge 250k€ ventile murs+fonds, Femina Styl 200k€, Cosmiques 200k€, Atalante 500k€). Concurrence sur Mont-Dore/La Clusaz/Serre-Chevalier : Adret 1365 (1,83M€). Lettre d'intention BreizhTourisme co-investisseur Belle-Ile-en-Mer. Lettre offre 1€ Association des Anciens Gestionnaires AAG 56 (Joelle Le Prioux) sur Ile de Groix uniquement."
"64 - SAS BLACK TIGER FRANCE","64","BLACK TIGER FRANCE","SAS","","","","Black Tiger","Plateforme SaaS (Master Data Platform) — services de marketing direct, analyses de données, gestion de clientèle et risque de crédit. Clientèle grands comptes.","Prepack cession (conciliation étendue — art. L.611-7 al.1 et L.642-2 al.2 C. com.)","2026-02-11","Tribunal des Activités Économiques de Paris","Maître Jean-Baptiste Albertini (conciliateur — mission étendue par ordonnance du 11/02/2026)","","","","","","2026-04-06","37","1","Black Tiger Poland (KRS 0000 855 139), Donatis EURL (RCS Paris 484 851 423), Black Tiger Canada Inc.","Tech / Data / SaaS / Marketing","Anciennement B&C Technologies (créée 1957, branche FR du groupe suédois Bisnode). RJ initial Tribunal Nanterre 14/06/2018 ayant donné lieu à plan de redressement arrêté le 28/09/2018 (admin. Me Hélène Bourbouloux). Plan modifié plusieurs fois (notamment 26/01/2023, durée portée à 10 ans). Levée de fonds 2019, 2023 (entrée fonds Arcole), 2024 (acquisition par Bloom Equity Partners via Bloom BT Holdings, Inc., Delaware). Bloom a racheté ~5,3M€ créances privées et financé pertes 2024-2025 ~10M€. Échec négo apurement créances publiques : URSSAF (65% du passif public) refuse abandon le 23/01/2026. Conciliation ouverte par ord. du 06/01/2026 puis étendue le 11/02/2026 pour appel d'offres. Organigramme : Bloom Equity Investments LLC (Delaware) → Bloom BT Holdings Inc. → Black Tiger France SAS (100%) et Black Tiger Technology SAS (100%, société sœur). Société-mère B&C Technologies Filiale également en RJ. Validité offre : 06/04/2026. Date limite signature actes : 6 mois après jugement définitif."
"65 - SAS LA LOCO","65","LA LOCO","SAS","7420819.50","810930123","24 rue Louis Blanc, 75010 Paris","Le Wagon","Formation aux metiers de la Tech / EdTech (bootcamps developpement web, data science, IA)","Redressement judiciaire","2026-03-24","Tribunal des Activites Economiques de Paris","Maitre Catherine POLI","SELARL AJRS","","Maitre Pablo CASTANON","SELARL Asteren","","2026-04-08","20","3","Le Wagon SAS (FR), Le Wagon For Business SAS (FR), Le Wagon Spain SLU (ES), Le Wagon GmbH (DE), Le Wagon Australia PTY Ltd (AU), Le Wagon UK Ltd, Le Wagon Informatica (PT), Le wagon Brussels SRL (BE), Wagon-D (Dubai), Le Wagon Chile, Le Garage HK Ltd, Garage Tech SRLS (IT), Le wagon Treinamentos (BR), FastFoo Entrenamientos (MX), Le WagonNL BV (NL), La Fractale SRL (CH)","EdTech / Formation professionnelle","DLDO 08/04/2026 15h00. Audience initiale prevue 24/03/2026. Bail principal 24 rue Louis Blanc 75010 Paris (SDM RCS 404679755) + bail secondaire 61 rue Servan 75011 Paris (SCI Gascogne RCS 349177816). Etablissement secondaire au Portugal (procedure secondaire a ouvrir). Marque commerciale Le Wagon, fondee par activite bootcamps intensifs. Plateforme proprietaire KITT (LMS). Reseau de plus de 31000 alumni sur ~100 campus. Audience d'examen des offres prevue avec dossiers Studi/Galileo, Formapriv, Simplon.co."
"66 - SCA DU DOMAINE DE VAULEARD","66","SCEA DU DOMAINE DE VAULEARD","SCEA (Société civile d'exploitation agricole)","910224","786160341","Domaine de Vauleard, 49460 Feneu","SCEA DOMAINE DE VAULEARD","Production agricole de pommes","Redressement judiciaire","2026-03-16","Tribunal des Activités Économiques de Paris","Me Marine PACE / Me Paul-Henri AUDRAS","SELARL 2M & Associés (coadm.) + SELAS AJ UP (coadm.)","","Me Valérie LELOUP-THOMAS / Me Charlotte THIRION","SELAFA MJA (comand.) + SELARL ATHENA (comand.)","","2026-03-18","5","3","","Production fruitière (pommes)","Filiale du groupe INNATIS (RCS 338 575 962 Paris), Pôle Val de Loire. Procédure de sauvegarde initiale ouverte 29/09/2025 sur INNATIS et ses filiales, convertie en RJ pour les Vergers (SCEA LAUNAY, DENIOLAY, BEAUVALLON, VAULEARD, LA CHAUSSEE, LA PLESSE, REINETTE D'ANJOU) par jugement 16/03/2026. Audience d'examen des offres 13/04/2026 à 9h15. Avocat débiteur : SELARL LEXCAP (4 rue du Quinconce 49100 Angers, dossier 26A01015 - TB/NMA). Groupe INNATIS : CA pôle Val de Loire 45-50M€, ~100 salariés. Difficultés : baisse récoltes HoneyCrunch 2023-2025 (60% surfaces VdL, rendement commercialisable 40% vs 70% requis) + station fruitière ultramoderne Verrières-en-Anjou (~30M€ investissement 2023) sous-dimensionnée. Échec restructuration dette 2024 (~6 mois nego banques). Pôle VdL = 22 sociétés dont 5 exploitations. Branches : Angevine (49) et Touraine (37). 300 ha vergers (210 Angevine + 90 Touraine), production cible 15000 T/saison (50T/ha)."
"26 - SA MAISON MINELLI","NEW-MINELLI","MAISON MINELLI","Société anonyme à conseil d'administration","100000","983323957","1 Impasse Saint-Eustache, 75001 Paris","Minelli","Commercialisation au détail de chaussures et, accessoirement, articles de maroquinerie et accessoires sous l'enseigne Minelli — chaîne de mode prêt-à-porter / chaussures","Redressement judiciaire (converti de sauvegarde)","2026-03-03","Tribunal des activités économiques de Paris","Me Carole Martinez (2M & Associés) + Me Céline Pelzer (P2G)","2M & Associés / P2G","2M & Associés : 22 rue de l'Arcade 75008 Paris — P2G : 48 rue La Fayette 75009 Paris","Me Stéphane Gorrias","SCP BTSG²","Joseph Wehbi","2026-05-11","86","6","Site opérationnel à Gémenos (13420) — 21 boutiques en propre — pas de filiale explicitement mentionnée","Mode / Prêt-à-porter / Chaussures / Maroquinerie","Marque française historique fondée en 1973. Sauvegarde ouverte le 01/09/2025, convertie en RJ par jugement du 03/03/2026 constatant l'état de cessation des paiements. Période d'observation jusqu'au 01/09/2026. Président : Francky NACCACHE. Repreneurs précédents : San Marina (2022), DS Invest / Mes Demoiselles Paris (2024). Échec du précédent plan de reprise ~3,7 M€ de pertes en 14 mois. Passif significatif : dette fournisseurs ~7,3 M€, dettes fiscales et sociales ~2,5 M€, dettes d'associés ~2 M€. 21 baux commerciaux centre-ville. CA en baisse de l'ordre de -43% en 2026. Stock data room : 154 528 pièces / valeur PA 2 681 175 € (80% chaussures femme). 9 salariés siège Gémenos + 77 salariés magasins. Offres reçues : 1 globale (Sayada / Maison Minelli totale), 1 plan de cession partiel (Holding Baghaira pour pôle digital), 4 cessions isolées de droits au bail. Agence broker mandatée : NEWMARK (Pascal Karsenty). Conseils AJ : c.martinez@aj-2m.com, j.giuliani@aj-2m.com, k.taborda@aj-2m.com, paris@p2g.fr"
"32 - SARL SCOOT PARIS 16","NEW-SCOOT","SARL SCOOT PARIS 16","SARL","","","Paris 16","","Réparation de deux-roues","","","","","SELARL ASTEREN","","","","","","","1","","Réparation deux-roues","Dossier reçu 2026-05-15. Tampon ""Procédures collectives 27 AVR. 2026"" sur l'offre. Cabinet AJ identifié via chèque joint (SELARL ASTEREN). Données société débitrice non extraites de l'offre (PDF ne contient que l'offre du repreneur, déclaration d'indépendance, questionnaire provenance des fonds et chèque consignation 10000€). Bailleur tiers (clause solidarité inversée évoquée). Repreneur indique 2 salariés concernés : Mohammed JELASSI (CDD reprenable) et Philippe ROUACH (arrêt maladie 2 ans, non repris)."
"40 - SAS FAIRSPACE","NEW-FAIRSPACE","SAS FAIRSPACE","SAS","","","3E rue de la Concertation, 75018 Paris","FAIRSPACE","Aménagement de bureaux et d'espaces professionnels — design, sourcing mobilier reconditionné/upcyclé/éco-conçu, économie circulaire, projets mid-market ~1000 m²","Redressement judiciaire","2026-04-09","Tribunal des activités économiques de Paris","Maître Catherine POLI","SELARL AJRS","","Maître Julia RUTH","SELARL ASTEREN","","","","1","","Aménagement de bureaux / mobilier reconditionné (ESUS)","Agrément Entreprise Solidaire d'Utilité Sociale (ESUS) obtenu en janvier 2023 délivré par le Préfet de Seine-Saint-Denis. Bail commercial 3E rue de la Concertation 75018 Paris (exclu du périmètre de reprise BLUEDIGO NEXT). Outil interne de suivi opérationnel des projets développé en interne. 3 PDFs déposés au greffe identiques (mêmes images page par page, MD5 binaires différents dus à la sérialisation Ghostscript / horodatage) — UNE seule offre unique BLUEDIGO NEXT du 30/04/2026."
"46 - SAS PETRUS","NEW-PETRUS","SAS PETRUS","SAS","91469.41","308757970","12 place du Maréchal Juin, 75017 Paris","Petrus","Commerce de restaurant, café, bar, dégustation, vente à consommer sur place ou à emporter de fruits de mer, produits gastronomiques, vins, alcools d'origine française ou étrangère","Redressement judiciaire","2026-01-16","Tribunal des Activités Économiques de Paris","Maître Marine PACE","SELARL 2M & ASSOCIES","22 rue de l'Arcade, 75008 Paris","Maître Sabine ROCHER","SELARL ASTEREN","Monsieur Philippe BONTEMPS","2026-04-23","9","6","","Restauration haut de gamme (bistrot parisien de luxe à l'ancienne)","Restaurant historique créé en 1977, situé 12 place du Maréchal Juin Paris 17. Repris en 2006 par Gilles Malafosse (Loulou Groupe), puis dirigé par Xavier Ferreira en 2018, puis racheté en septembre 2023 par Sylvain Sendra (chef étoilé Fleur de Pavé) pour 2,2M€ (900K€ actionnaires + 1,3M€ emprunt). Société dirigée par SSG Hospitalities Invest (RCS Paris 979305190 — Sylvain Sendra). CA 2024: 1023K€ / 2023: 1191K€ / 2022: 1678K€. Résultat exploitation 2024: -536K€ / 2023: -239K€ / 2022: -168K€. Résultat net 2024: -786K€. Difficultés: travaux fermeture déc 2023 (1,5M€ coût, retard 4 mois), litige marque Petrus avec société Vin Pétrus (jugement TJ Paris 30/01/2026 — interdiction usage signe Petrus pour vin), désaccord actionnaires. Bail commercial avec SCI PETRUS IMMOBILIER (Gilles Malafosse) en tacite prolongation depuis avril 2025 — arriérés locatifs 46988,87€ déclarés au passif, mise en demeure 06/12/2024 + 23/07/2025, commandement de payer 28/08/2025. Prêt BNP Paribas 08/01/2024 — montant initial 900K€ — capital restant dû 08/05/2026: 691998,08€ (alt: 731155,82€ déclaré) — garanti par nantissement fonds de commerce (L.642-12 al.4). Licence IV n°15798. Loyer annuel 110000€ HT HC (alt: 46374,92€ T1 2025 selon offre 02). DLDO fixée au 23 avril 2026 avant midi. 6 offres reçues."
"47 - SAS MGL","NEW-MGL","MGL","SAS","1453008","823097183","102 avenue des Champs Elysées, 75008 Paris","Lolly's","Achat, vente, import-export, distribution de confiserie, biscuits, chocolats et épicerie américaine sous l'enseigne Lolly's","Redressement judiciaire","2026-01-16","Tribunal des Activités Économiques de Paris","Maître Paul-Henri AUDRAS","SELARL AJ UP","","Maître Frédérique LEVY","SELAFA MIA","Monsieur Pierre JARROSSAY","2026-04-20","","1","","Retail confiserie / épicerie américaine","Exploite 8 magasins en propre : Paris-Forum des Halles, Créteil, Caen, Bordeaux Sainte-Catherine, Tours, Valence, Nice, Marseille. DLDO : 20/04/2026 à 12h00. PDF unique reçu = 1 offre YN INVEST (340 pages dont annexes Kbis, statuts, comptes, plaquettes, jugement, passeport)."
"52 - SARL DES PLANCHES","NEW-PLANCHES","SARL DES PLANCHES","SARL","","","3 rue de la Comète, 75007 Paris","","Salon de coiffure et esthétique","Liquidation judiciaire","","","","","","Me Lucile JOUVE","","","41 rue de l'Echiquier, 75010 Paris","","","3","2",""
"57 - SAS ARANA FACILITIES","NEW-ARANA","ARANA FACILITIES","SAS","15000","437641194","60 rue la Boétie, 75008 Paris","","Agence de services spécialisée dans l'accueil en entreprise, accueil événementiel, animation commerciale et conseil en organisation de services d'accueil (hôtes/hôtesses, barmen, personnel filtrant/sécurité, voituriers)","Redressement judiciaire","2026-03-24","Tribunal des activités économiques de Paris","Maître Aurélia PERDEREAU","SELARL THEVENOT PARTNERS","42 rue de Lisbonne, 75008 Paris","Maître Julia RUTH","SELARL ASTEREN","","","11","1","","Services d'accueil / Hospitality B2B","Présidée par Bernard PICHOT. Bail commercial 60 rue la Boétie 75008 (SCI HAESLER) — loyer 5050,13€ HT/mois — bail 01/08/2020-31/07/2029 — dépôt garantie 13500€. État des inscriptions du 25/03/2026 : aucune inscription. Seule offre identifiée dans ce dossier : GR WELCOME SERVICES."
"59 - SARL ARLO","NEW-ARLO","SOCIETE ARLO","SAS","2000","951350081","12 avenue de la République, 75011 Paris","LA BONNE PLACE","Bar Brasserie Restaurant","Redressement judiciaire","2026-03-27","Tribunal des activités économiques de Paris","Maître Carole MARTINEZ","SELARL 2M&ASSOCIES","","Me Marie-Hélène Montravers","SELARL MONTRAVERS YANG-TING","","","1","2","","CHR / Bar-Brasserie-Restaurant","Fonds de commerce Bar Brasserie Restaurant ""LA BONNE PLACE"" 12 av. République 75011 Paris. Bail jusqu'en 2032. Prêt Banque Populaire Rive de Paris initial 190000€, CRD 116490€ (transfert L.642-12 al.4). Annonce diffusée par Century 21 Horeca (Jean-Paul EUSEBIO). 2 offres reçues : RIVOLI CAPITAL (10000€) et Mahdi ABERRANE (5000€). Effectif 1 (Barman)."
"61 - SAS DIGITAL COLLEGE","NEW-DIGITAL-COLLEGE","SAS DIGITAL COLLEGE","SAS","30000","797546660","15 rue Montmartre, 75001 Paris","Digital College","Enseignement supérieur privé alternance — métiers du numérique / digital / data / IA / marketing digital — 8 campus France (Paris La Défense"," Lille"," Strasbourg"," Lyon"," Marseille"," Nice"," Toulouse"," Guadeloupe) — 1042 apprenants — formations 70% en ligne","Redressement judiciaire","2026-03-30","Tribunal des activités économiques de Paris","Me Sandra BELADJINE + Me Aurélia PERDEREAU","SELARL BCM + SELARL THEVENOT PARTNERS","","Me Stéphane GORRIAS + Me Pierre-Adrien GUIGON","SCP BTSG² + SELARL GUIGON ASSOCIES"
"62 - SAS AXIOVAL","NEW-AXIOVAL","AXIOVAL","SAS","150000","807450549","80 rue de Montmartre, 75002 PARIS","AXIOVAL","Conseil pour les affaires et autres conseils en gestion, systèmes et logiciels informatiques (conseil RH et organisation aux collectivités locales)","Mandat ad hoc puis conciliation puis liquidation judiciaire avec poursuite d'activité (pré-pack cession)","2026-02-23","Tribunal des Activités Économiques de PARIS","Maître Laure SANCHEZ-SEPVAL (mandataire ad hoc puis conciliatrice puis liquidatrice)","SELAFA MJA","41 rue de l'Echiquier, 75010 PARIS","Maître Laure SANCHEZ-SEPVAL","SELAFA MJA","","2026-04-06","6","1","","Conseil aux collectivités locales / RH-organisation","Dirigeant : Frédéric MALET (Président). Mandat ad hoc ouvert le 23/02/2026 pour 2 mois (jusqu'au 23/04/2026). DLDO fixée au 06/04/2026 23h59. Procédure : mandat ad hoc → conciliation (art. L611-7) → LJ avec poursuite d'activité (déclaration cessation paiements régularisée vers le 16/04/2026). Nantissement fonds de commerce CIC du 31/07/2023 (n°2007 / 75012023FC002007) pour 200000€ — radiation demandée. CA 2024 estimé en baisse significative. Production 2026 (équipe 7 pers) : facturation 162670€, encaissements 105368€. Plus de réponse aux appels d'offres depuis mars 2026. Reste à encaisser ~60000€ sur marchés en cours. Dirigeant Frédéric MALET a créé CAP2-PUBLIC (RCS Saint-Quentin 102011327) le 04/03/2026 pour poursuivre certains contrats. Aucune filiale mentionnée."
